Country_encoded,EdLevel_encoded,YearsCodePro,Employment_encoded,Salary
149,2,2.0,0,71093.0
22,1,4.0,0,13740.0
111,2,1.0,0,1592.0
28,2,5.0,0,93594.0
151,0,1.0,0,60000.0
151,0,4.0,2,0.0
151,2,10.0,0,2000000.0
151,2,16.0,0,128000.0
8,2,26.0,0,83236.0
151,0,3.0,0,1140000.0
151,1,27.0,0,80000.0
28,1,3.0,0,68068.0
151,3,6.0,0,140000.0
8,0,4.0,0,30000.0
151,1,20.0,0,2000000.0
14,0,4.0,0,38124.0
151,1,36.0,0,140000.0
28,0,7.0,0,37816.0
151,0,7.0,0,107000.0
151,0,5.0,0,80000.0
91,0,13.0,0,25860.0
151,0,3.0,0,85000.0
151,0,15.0,0,135000.0
151,0,12.0,0,65395.0
151,0,6.0,0,118000.0
151,0,2.0,0,60000.0
151,0,40.0,0,150000.0
135,0,5.0,0,589116.0
151,0,4.0,0,84500.0
62,0,23.0,0,55847.0
28,0,8.0,0,109665.0
151,2,15.0,0,150000.0
151,0,12.0,0,110000.0
151,1,20.0,0,120000.0
135,1,6.0,0,60138.0
151,0,8.0,0,130000.0
151,0,4.0,0,90000.0
151,0,22.0,0,200000.0
52,0,2.0,0,14268.0
151,2,3.0,0,65000.0
62,0,8.0,0,594539.0
107,0,13.0,0,36576.0
151,1,18.0,2,48000.0
151,1,32.0,0,120000.0
151,1,0.5,0,55000.0
117,0,5.0,2,58368.0
50,2,20.0,0,87559.0
151,0,3.0,0,91000.0
151,3,20.0,0,150000.0
151,0,20.0,0,90000.0
151,0,24.0,0,210000.0
28,0,6.0,0,68824.0
151,0,7.0,0,2000000.0
149,2,22.0,0,67215.0
151,0,6.0,0,150000.0
151,0,7.0,0,123000.0
149,0,20.0,0,59459.0
5,0,6.0,0,22380.0
91,2,6.0,0,9696.0
151,1,15.0,0,90000.0
151,2,16.0,0,185000.0
151,0,8.0,0,77000.0
62,2,2.0,0,20943.0
29,1,3.0,0,18060.0
151,0,5.0,0,130000.0
39,2,22.0,0,120000.0
112,2,4.0,0,33408.0
151,0,8.0,0,165000.0
28,2,1.0,2,1000000.0
151,1,10.0,0,137000.0
28,0,10.0,2,163368.0
151,0,19.0,0,220000.0
151,0,15.0,0,200000.0
117,1,8.0,0,64860.0
151,0,33.0,0,180000.0
151,0,20.0,0,25000.0
151,0,14.0,0,120000.0
151,1,9.0,0,145000.0
22,0,4.0,0,14292.0
151,2,8.0,0,60000.0
151,0,5.0,0,280000.0
50,2,24.0,0,48384.0
28,0,5.0,0,52942.0
151,1,3.0,0,58000.0
151,2,6.0,0,90000.0
72,1,12.0,0,25392.0
151,0,10.0,0,130000.0
64,1,4.0,0,22800.0
47,1,8.0,0,51888.0
151,1,20.0,0,145000.0
47,2,20.0,0,66156.0
8,1,2.0,0,24000.0
151,0,1.0,0,48000.0
149,0,2.0,0,38778.0
151,2,26.0,2,125000.0
151,1,6.0,0,68000.0
151,0,5.0,0,105000.0
151,0,4.0,0,42000.0
151,0,8.0,0,95000.0
151,0,5.0,0,151000.0
50,0,8.0,0,55776.0
151,1,20.0,0,215000.0
151,0,2.0,0,80000.0
151,0,6.0,0,110000.0
151,0,8.0,0,400000.0
22,3,4.0,0,10992.0
151,2,20.0,0,100000.0
151,0,10.0,0,138000.0
151,0,3.0,1,25000.0
149,0,2.0,2,0.0
151,0,2.0,0,64800.0
151,0,1.0,0,85000.0
151,0,15.0,0,480000.0
151,0,9.0,0,88000.0
151,0,6.0,0,70000.0
149,2,11.0,0,69800.0
50,1,20.0,1,25944.0
42,0,4.0,0,13464.0
68,1,1.0,0,59544.0
149,1,10.0,0,46533.0
69,2,1.0,0,20539.0
151,0,3.0,0,101000.0
151,0,16.0,0,2000000.0
151,0,12.0,0,120000.0
151,1,14.0,0,250000.0
151,2,10.0,0,250000.0
151,2,2.0,0,936000.0
151,0,2.0,0,60040.0
151,0,16.0,0,135000.0
112,2,9.0,0,41916.0
151,3,11.0,0,500000.0
151,1,13.0,0,125000.0
151,0,9.0,0,150000.0
151,0,6.0,0,85000.0
151,0,30.0,0,140000.0
151,1,8.0,0,80000.0
151,2,34.0,2,220000.0
151,0,6.0,2,82000.0
151,2,11.0,0,104000.0
151,0,7.0,0,126480.0
28,0,22.0,0,83194.0
